time,x,y,z,abs,Action_numerical,Action
9.992098833,-1.322352498,-1.62623171,0.5359055007,2.163432552,1.0,walking
10.00211683,-1.590884707,-2.233179566,0.473800469,2.782533379,1.0,walking
10.01213208,-1.93187152,-2.663182781,0.4469567791,3.320307284,1.0,walking
10.02215008,-2.380328987,-2.887907359,0.3957877949,3.763326052,1.0,walking
10.03216908,-2.733662195,-2.978949383,0.2325829428,4.049832497,1.0,walking
10.04218708,-2.971933894,-2.915607666,0.1070555019,4.164687265,1.0,walking
10.05220608,-3.000436732,-2.720470877,0.006462927461,4.05013878,1.0,walking
10.06222408,-2.778795683,-2.427213131,-0.1312992275,3.691924772,1.0,walking
10.07224308,-2.162302687,-1.943096712,-0.2551830161,2.91826937,1.0,walking
10.08226108,-1.16866779,-1.169543337,-0.3984079322,1.700689537,1.0,walking
10.09228008,-0.04245721757,-0.2349565835,-0.4897753546,0.5448734802,1.0,walking
10.10229808,1.152685595,0.742186498,-0.6437375128,1.514570191,1.0,walking
10.11231708,2.232279825,1.384468054,-1.055054928,2.830718268,1.0,walking
10.12233508,2.89086108,1.425604093,-1.806602526,3.695028755,1.0,walking
10.13235408,2.638768902,0.8438119832,-2.470695073,3.712068712,1.0,walking
10.14237208,1.62966578,0.1297719347,-2.572984217,3.048425674,1.0,walking
10.15239108,0.759444555,-0.003653047979,-2.511816494,2.624117276,1.0,walking
10.16240908,0.2777158463,0.315642093,-2.426700623,2.462850368,1.0,walking
10.17242808,0.04234085798,0.6481796426,-2.419707353,2.505376872,1.0,walking
10.18244608,-0.1600628507,0.7200331521,-2.520804542,2.626504025,1.0,walking
10.19246508,-0.3856800056,0.3979103342,-2.542820771,2.602502483,1.0,walking
10.20248408,-0.6946661764,-0.4139416088,-2.426057429,2.557276559,1.0,walking
10.21250208,-1.012293363,-1.433291135,-2.37973491,2.956721084,1.0,walking
10.22252108,-1.354940785,-2.236483973,-2.537448057,3.643675031,1.0,walking
10.23253908,-1.671944073,-2.728824794,-2.854966192,4.28867272,1.0,walking
10.24255808,-1.652038397,-2.77991104,-3.135404502,4.504208881,1.0,walking
10.25257608,-0.7704127622,-2.372275617,-3.473585236,4.276332753,1.0,walking
10.26259508,0.7916118425,-1.787115218,-3.773359996,4.249550067,1.0,walking
10.27261308,2.395603668,-1.601773392,-3.728275917,4.712179564,1.0,walking
10.28263208,3.686650173,-1.533804188,-3.312255294,5.187964911,1.0,walking
10.29265008,4.473263816,-1.368890341,-2.499500504,5.30390919,1.0,walking
10.30266908,4.726299734,-1.312075724,-1.305330376,5.07575997,1.0,walking
10.31268708,4.516026843,-1.54352343,-0.03500406414,4.77265003,1.0,walking
10.32270608,3.8963553,-1.887544655,0.9723875776,4.43733558,1.0,walking
10.33272408,2.959847699,-2.200789353,1.666872783,4.047547042,1.0,walking
10.34274308,1.81043596,-2.441039165,2.130994063,3.711803641,1.0,walking
10.35276108,0.4902481019,-2.515902236,2.611843936,3.659485757,1.0,walking
10.36278008,-0.9075276303,-2.318692902,3.005257469,3.902757439,1.0,walking
10.37279808,-2.063183611,-1.894736438,3.220336771,4.268175454,1.0,walking
10.38281708,-2.923082162,-1.257967052,3.252093,4.550054868,1.0,walking
10.39283508,-3.397918172,-0.5276842789,3.13056944,4.650243394,1.0,walking
10.40285408,-3.48399328,0.12889308,2.870340276,4.515935773,1.0,walking
10.41287208,-3.3248309,0.6084065893,2.515981466,4.213647094,1.0,walking
10.42289108,-2.859652151,0.8546360564,2.047194692,3.619256736,1.0,walking
10.43291008,-1.916306816,0.6776680282,1.54140089,2.550957169,1.0,walking
10.44292808,-0.7062582815,0.04598718623,1.169925818,1.36734853,1.0,walking
10.45294708,0.3943865097,-0.6500390571,1.128508528,1.360743544,1.0,walking
10.46296508,1.279120524,-1.129242353,1.446553205,2.236929544,1.0,walking
10.47298408,2.105133875,-1.472865091,1.845456397,3.163325706,1.0,walking
10.48300208,2.702034021,-1.6046128,2.298585789,3.8934903,1.0,walking
10.49302108,3.016859806,-1.556362453,2.782434698,4.389265317,1.0,walking
10.50303908,3.174093189,-1.555427484,3.286780145,4.826711712,1.0,walking
10.51305808,3.160860355,-1.589835716,3.79224124,5.186492978,1.0,walking
10.52307608,2.876886234,-1.439132212,4.108219804,5.217762536,1.0,walking
10.53309508,2.192795917,-1.013707804,4.140569817,4.793774697,1.0,walking
10.54311308,1.399990658,-0.6210406682,3.956376092,4.242472997,1.0,walking
10.55313208,0.7322585106,-0.397940155,3.595705504,3.691023837,1.0,walking
10.56315008,0.1615299171,-0.3018934252,3.011135674,3.030539491,1.0,walking
10.57316908,-0.3124073768,-0.3793848932,2.192214704,2.246627822,1.0,walking
10.58318708,-0.7469677663,-0.4885217115,1.421472158,1.678450894,1.0,walking
10.59320608,-1.193452967,-0.5568058614,0.8719663265,1.579458144,1.0,walking
10.60322408,-1.618524495,-0.5517753556,0.6645673415,1.834591872,1.0,walking
10.61324308,-2.014300303,-0.6512081348,0.6289975592,2.208419271,1.0,walking
10.62326108,-2.225918055,-0.8349089395,0.5492590794,2.439973291,1.0,walking
10.63328008,-2.160203537,-0.9926096613,0.3547999826,2.403671418,1.0,walking
10.64329808,-1.823704462,-1.093928168,0.08062871844,2.128163009,1.0,walking
10.65331708,-1.28241543,-1.107009778,-0.230251658,1.709700503,1.0,walking
10.66333508,-0.8286837745,-0.8572351438,-0.4661482179,1.280180866,1.0,walking
10.67335408,-0.2435932499,-0.5006418932,-0.8551631829,1.020433264,1.0,walking
10.68337308,-0.01998461366,-0.01593051977,-1.138638537,1.138925319,1.0,walking
10.69339108,-0.1754328418,0.6397608215,-1.159765989,1.336086726,1.0,walking
10.70341008,-0.5261552685,1.390291589,-1.122563664,1.862766557,1.0,walking
10.71342808,-1.122707505,2.129551555,-1.192222713,2.686420847,1.0,walking
10.72344708,-1.759337727,2.656599694,-1.277586215,3.432931358,1.0,walking
10.73346508,-2.274111391,2.709256502,-1.033367897,3.685037669,1.0,walking
10.74348408,-2.546755947,2.301873386,-0.5024874938,3.469449613,1.0,walking
10.75350208,-2.562896601,1.821819612,-0.1476676306,3.147899524,1.0,walking
10.76352108,-2.207847819,1.389649272,-0.188894594,2.615606672,1.0,walking
10.77353908,-1.614966465,1.053939352,-0.5018761674,1.992682746,1.0,walking
10.78355808,-0.921842199,0.7570551635,-0.8206605175,1.447898216,1.0,walking
10.79357608,-0.097651425,0.4885413728,-1.073358467,1.183345627,1.0,walking
10.80359508,0.759969635,0.3017552847,-1.290259762,1.527540622,1.0,walking
10.81361308,1.404671354,0.3806519848,-1.316324018,1.962321703,1.0,walking
10.82363208,1.734088866,0.7635385562,-1.092407526,2.187100712,1.0,walking
10.83365008,1.845198827,1.26497991,-0.6452624667,2.328367783,1.0,walking
10.84366908,1.834918252,1.669130685,-0.1701794109,2.486339331,1.0,walking
10.85368708,1.708463443,1.968969472,0.1432218464,2.61078544,1.0,walking
10.86370608,1.280164252,2.205019229,0.3396659267,2.572217575,1.0,walking
10.87372408,0.5744059074,2.336388915,0.3658158445,2.433613885,1.0,walking
10.88374308,-0.1152638233,2.164003642,0.1600887246,2.17297628,1.0,walking
10.89376108,-0.4906147224,1.671515764,-0.3555762005,1.777948872,1.0,walking
10.90378008,-0.4226560432,1.132162087,-1.252321273,1.740326893,1.0,walking
10.91379908,0.1703194517,0.8598468757,-2.404948981,2.559711891,1.0,walking
10.92381708,1.166612493,0.9131473162,-3.928420554,4.198489106,1.0,walking
10.93383608,2.193935539,1.254310057,-6.001393865,6.511787404,1.0,walking
10.94385408,2.787202225,1.850616564,-7.192540691,7.932585928,1.0,walking
10.95387308,2.894541317,2.329506011,-6.067614752,7.114837769,1.0,walking
10.96389108,2.850980145,2.511750421,-3.593104663,5.229472161,1.0,walking
10.97391008,2.806151882,2.486081729,-1.391036232,3.998758875,1.0,walking
10.98392808,2.65161348,2.220917808,0.09547816113,3.460151158,1.0,walking
10.99394708,2.168544005,1.598678753,0.8788072765,2.833841754,1.0,walking
11.00396508,1.164826754,0.5278657253,1.091253286,1.681159518,1.0,walking
11.01398354,-0.0739941752,-0.6516138585,0.9640222585,1.165939395,1.0,walking
11.02400154,-1.127723247,-1.60272181,0.867537353,2.143151414,1.0,walking
11.03402054,-1.771011693,-2.349774654,0.7146107367,3.02796827,1.0,walking
11.04403854,-2.077899883,-2.932045943,0.6059881809,3.644418062,1.0,walking
11.05405754,-2.188251461,-3.384116989,0.7091181546,4.091887194,1.0,walking
11.06407554,-2.163090307,-3.686725895,0.976737029,4.384623441,1.0,walking
11.07409454,-2.065372809,-3.869801632,1.217689092,4.552350627,1.0,walking
11.08411254,-1.868685923,-4.001352582,1.359888406,4.620833912,1.0,walking
11.09413154,-1.4747362,-4.102796803,1.462292448,4.598487542,1.0,walking
11.10414954,-0.9957480812,-4.210864458,1.610988311,4.617161148,1.0,walking
11.11416854,-0.4220198661,-4.281029292,1.83193471,4.675606629,1.0,walking
11.12418654,0.2857978678,-4.24398338,2.047751347,4.720843244,1.0,walking
11.13420554,0.8470481247,-4.014303872,2.142200252,4.62829861,1.0,walking
11.14422454,1.329587842,-3.618113789,2.037714309,4.360141147,1.0,walking
11.15424254,1.954347632,-3.033841582,1.853768506,4.057108217,1.0,walking
11.16426154,2.718947092,-2.191194072,1.841649567,3.947870043,1.0,walking
11.17427954,3.258968448,-0.9934653282,2.289043425,4.104578968,1.0,walking
11.18429854,3.650723711,0.3944397193,2.866861475,4.658568559,1.0,walking
11.19431654,3.670466834,1.399795068,2.394102688,4.600378321,1.0,walking
11.20433554,3.226028159,1.776791959,1.402066419,3.940816868,1.0,walking
11.21435354,2.403876309,2.200358706,0.2080828169,3.265501217,1.0,walking
11.22437254,1.413127597,2.504447249,0.129501501,2.878533701,1.0,walking
11.23439054,0.5557433492,2.961029714,0.3844102827,3.037156384,1.0,walking
11.24440954,-0.2217550689,3.430012954,0.5748970735,3.48492049,1.0,walking
11.25442754,-0.886744287,3.715006245,1.005518486,3.949513167,1.0,walking
11.26444654,-1.40049001,3.826168832,1.400708988,4.308471407,1.0,walking
11.27446454,-1.717858749,3.564123816,1.541946436,4.246365041,1.0,walking
11.28448354,-2.05674992,3.077132905,1.444704023,3.973177175,1.0,walking
11.29450154,-2.351355448,2.540763428,1.302616391,3.698805307,1.0,walking
11.30452054,-2.408434213,1.901139577,1.136246441,3.271993739,1.0,walking
11.31453854,-2.344786102,1.246446868,1.038573089,2.851365588,1.0,walking
11.32455754,-2.22610575,0.4695974904,0.9879081345,2.480328828,1.0,walking
11.33457554,-2.030883007,-0.2912229145,0.9346990567,2.254541838,1.0,walking
11.34459454,-1.813642573,-1.01598968,0.8535630924,2.247243727,1.0,walking
11.35461354,-1.72158518,-1.74896769,0.7962562859,2.580071237,1.0,walking
11.36463154,-1.852779157,-2.342605967,0.873537181,3.111858051,1.0,walking
11.37465054,-2.00863669,-2.783700913,0.8911279446,3.546508302,1.0,walking
11.38466854,-2.26471433,-2.941832428,0.8590045112,3.810668942,1.0,walking
11.39468754,-2.56640493,-3.099648194,0.5977272347,4.06835729,1.0,walking
11.40470554,-2.825682752,-3.136142128,-0.03450032651,4.22149982,1.0,walking
11.41472454,-3.005858855,-2.98128827,-1.013673306,4.353251747,1.0,walking
11.42474254,-3.052230783,-2.7031064,-1.999663553,4.541095825,1.0,walking
11.43476154,-3.024907329,-2.474001966,-2.65305745,4.723289522,1.0,walking
11.44477954,-2.952385483,-2.254995966,-2.842478878,4.677742299,1.0,walking
11.45479854,-2.613031213,-2.038115574,-2.649209398,4.242659266,1.0,walking
11.46481654,-1.939562947,-1.692034813,-2.400674958,3.519677044,1.0,walking
11.47483554,-0.7586627823,-1.069739187,-2.364647631,2.703972922,1.0,walking
11.48485354,0.8260472649,-0.3076383877,-2.703199956,2.843287791,1.0,walking
11.49487254,2.333148388,0.3339654762,-3.164569244,3.945834873,1.0,walking
11.50489054,3.34818468,0.5580673251,-3.662398846,4.993490272,1.0,walking
11.51490954,3.462230528,0.1648210955,-3.591202856,4.991086472,1.0,walking
11.52492754,2.804091323,-0.5856287608,-2.936399195,4.102234687,1.0,walking
11.53494654,1.899713003,-0.9928852844,-2.464692614,3.26641093,1.0,walking
11.54496454,1.014429935,-1.257588152,-2.288887889,2.801714444,1.0,walking
11.55498354,0.2135350531,-1.682293352,-2.243689789,2.812445913,1.0,walking
11.56500154,-0.6215590239,-2.200482666,-1.951383094,3.006053154,1.0,walking
11.57502054,-1.37018623,-2.665318769,-1.506641825,3.354296354,1.0,walking
11.58503954,-1.639095,-2.899855267,-1.275515423,3.566893968,1.0,walking
11.59505754,-0.9832794785,-2.850372035,-1.513879216,3.373913092,1.0,walking
11.60507654,0.2244997519,-2.726264298,-1.745450298,3.244921248,1.0,walking
11.61509454,1.183900371,-2.677117866,-1.523385327,3.299891363,1.0,walking
11.62511354,2.062123511,-2.421259496,-1.18588667,3.394286098,1.0,walking
11.63513154,2.910439897,-1.957282934,-0.9328086519,3.629290407,1.0,walking
11.64515054,3.581442391,-1.451384467,-0.6924550518,3.925906325,1.0,walking
11.65516854,3.916170929,-1.025743055,-0.1626014194,4.051540791,1.0,walking
11.66518754,3.99279986,-0.7988279644,0.4136060151,4.092877566,1.0,walking
11.67520554,3.680134621,-0.6374736831,0.955087713,3.855120758,1.0,walking
11.68522454,2.742979733,-0.4917880393,1.550151541,3.188849807,1.0,walking
11.69524254,1.372429222,-0.2757628763,1.989766556,2.432853896,1.0,walking
11.70526154,-0.05979888976,0.02464400399,2.181591775,2.182550321,1.0,walking
11.71527954,-1.182235084,0.3747553967,2.178217054,2.506541629,1.0,walking
11.72529854,-2.124415069,0.7189183804,2.061064288,3.045975873,1.0,walking
11.73531654,-2.772471335,0.929969244,1.871209873,3.47172385,1.0,walking
11.74533554,-3.143822739,0.9374188891,1.885595486,3.783892958,1.0,walking
11.75535354,-3.151646898,0.9356606314,1.895698305,3.794998162,1.0,walking
11.76537254,-2.857232573,0.9175918579,1.797061039,3.497882384,1.0,walking
11.77539054,-2.506798999,0.8260946274,1.839990419,3.21745836,1.0,walking
11.78540954,-2.083112091,0.4932129326,1.839439319,2.822437243,1.0,walking
11.79542854,-1.45908028,-0.0869805488,1.865344824,2.369808471,1.0,walking
11.80544654,-0.6762363374,-0.7183006221,1.855503083,2.101462124,1.0,walking
11.81546554,0.08078980923,-1.34571037,1.945600197,2.367028416,1.0,walking
11.82548354,0.7011770511,-1.992016565,2.12510504,2.99597241,1.0,walking
11.83550254,1.410541373,-2.620706853,2.197982397,3.699845671,1.0,walking
11.84552054,2.199224346,-3.239106334,2.156405039,4.469729327,1.0,walking
11.85553954,2.70283509,-3.821007787,2.090556035,5.125996739,1.0,walking
11.86555754,2.951592016,-4.425500542,2.0862959,5.713981192,1.0,walking
11.87557654,2.929820493,-4.93299296,2.10568059,6.111641221,1.0,walking
11.88559454,2.925659029,-5.409452743,1.812742248,6.411528226,1.0,walking
11.89561354,2.540284833,-5.379671704,1.600870582,6.160901014,1.0,walking
11.90563154,1.954669229,-4.821137771,1.624364694,5.45001485,1.0,walking
11.91565054,1.294639619,-4.065642718,1.826896019,4.6414536,1.0,walking
11.92566854,0.6336376172,-3.238578038,1.863997333,3.790035672,1.0,walking
11.93568754,0.08274570286,-2.164507526,1.751807975,2.785816014,1.0,walking
11.94570554,-0.6018755418,-0.9812842624,1.623117191,1.989895069,1.0,walking
11.95572454,-1.197817914,0.2959690994,1.331424453,1.815229059,1.0,walking
11.96574254,-1.53414625,1.358053257,1.018680861,2.28814861,1.0,walking
11.97576154,-1.913638147,2.198432048,0.8408863288,3.033513515,1.0,walking
11.98578054,-2.097260014,2.740207861,0.7543902218,3.532186758,1.0,walking
11.99579854,-2.223618345,2.988354338,0.3858826116,3.744815827,1.0,walking
12.00581754,-2.499584119,3.276922324,-0.2318897554,4.127943016,1.0,walking
12.01583946,-2.823443853,3.42440489,-0.8871120769,4.526074665,1.0,walking
12.02585846,-3.151545156,3.23945512,-0.9449743688,4.617280899,1.0,walking
12.03587646,-3.353713222,2.822488418,-0.4582366428,4.407245632,1.0,walking
12.04589546,-3.230358607,2.36625123,-0.09647788882,4.00545498,1.0,walking
12.05591346,-2.957119973,2.034900629,-0.08363447964,3.590595192,1.0,walking
12.06593246,-2.780580838,1.929303861,-0.003824663758,3.384354859,1.0,walking
12.07595046,-2.675782946,1.862448113,0.2121077478,3.267034901,1.0,walking
12.08596946,-2.603271625,1.732291285,0.4656962281,3.161444168,1.0,walking
12.09598746,-2.536584715,1.640679011,0.5809296459,3.076291418,1.0,walking
12.10600646,-2.497170389,1.535581595,0.6260780445,2.997639822,1.0,walking
12.11602446,-2.30569688,1.379680354,0.45951309,2.725969234,1.0,walking
12.12604346,-1.946778411,1.209955126,0.1448483956,2.296719105,1.0,walking
12.13606146,-1.478980694,0.9726769417,-0.1163452658,1.77398437,1.0,walking
12.14608046,-0.924005084,0.6768580426,-0.4244847599,1.221519348,1.0,walking
12.15609846,-0.3085172242,0.3471010999,-0.8444586852,0.9637284484,1.0,walking
12.16611746,0.3813776243,0.03609745692,-1.378371162,1.430614896,1.0,walking
12.17613546,1.087444117,-0.1970509848,-2.044957255,2.324481442,1.0,walking
12.18615446,1.856916647,-0.2975925788,-2.784873572,3.360390094,1.0,walking
12.19617346,2.432368621,-0.05669050992,-3.463339745,4.232535069,1.0,walking
12.20619146,2.03422586,0.6652894726,-3.829000638,4.386562529,1.0,walking
12.21621046,0.9513653755,1.359409811,-3.862069566,4.203412001,1.0,walking
12.22622846,-0.1346017349,1.461094061,-3.8921608,4.159546751,1.0,walking
12.23624746,-0.4453280371,0.7755793619,-4.366096924,4.45675249,1.0,walking
12.24626546,0.6010773969,-0.04867781449,-4.653900972,4.692809161,1.0,walking
12.25628446,2.514554161,0.03312900826,-3.865124736,4.611211271,1.0,walking
12.26630246,4.383262888,0.8212798107,-2.473598216,5.099625692,1.0,walking
12.27632146,5.757306526,1.194185185,-1.101532691,5.982142673,1.0,walking
12.28633946,6.301951275,1.234102518,-0.01530654877,6.421669034,1.0,walking
12.29635846,5.967115733,1.18584457,1.004342611,6.166149657,1.0,walking
12.30637646,4.692735547,1.030315066,1.993987076,5.201855487,1.0,walking
12.31639546,2.495313313,0.686562301,2.652440861,3.705860068,1.0,walking
12.32641346,0.1238837886,0.09141113028,2.850404487,2.854559323,1.0,walking
12.33643246,-1.818955353,-0.5590281322,2.711928679,3.312954602,1.0,walking
12.34645046,-3.095891942,-1.17949771,2.384112135,4.081636,1.0,walking
12.35646946,-3.523071976,-1.749944906,1.84660859,4.345607738,1.0,walking
12.36648746,-3.282067289,-2.331188255,1.369014448,4.252129458,1.0,walking
12.37650646,-2.681026729,-2.866690444,1.204521162,4.105689912,1.0,walking
